Word,Cluster,Syllabification,Prop Responses
radish,D,,
sojourn,JH,,
cannon,N,,
tuba,B,,
oblige,B L,,
nylon,L,,
tabby,B,,
novel,V,,
nuzzle,Z,,
brittle,T,,
office,F,,
veiling,L,,
candle,N D,,
odor,D,,
muscle,S,,
mordant,R D,,
obscene,B S,,
occult,K,,
obtuse,B T,,
subside,B S,,
pastor,S T,,
nova,V,,
nothing,TH,,
capsize,P S,,
gainsay,N S,,
noted,T,,
noodle,D,,
nugget,G,,
cascade,S K,,
tattle,T,,
ballad,L,,
mutton,T,,
cartel,R T,,
warbler,R B L,,
canto,N T,,
ally,L,,
soccer,K,,
pistil,S T,,
canal,N,,
pimple,M P,,
pigeon,JH,,
seven,V,,
booty,T,,
placard,K,,
model,D,,
placate,K,,
bowman,M,,
pitfall,T F,,
slender,N D,,
pity,T,,
picture,K CH,,
picnic,K N,,
piecemeal,S M,,
brilliant,L Y,,
sorrel,R,,
phylum,L,,
carmine,R M,,
pilot,L,,
pilgrim,L G R,,
monarch,N,,
pillar,L,,
bauble,B,,
booby,B,,
upstate,P S T,,
catwalk,T W,,
breakfast,K F,,
polar,L,,
pokey,K,,
mecca,K,,
caution,SH,,
misuse,S Y,,
defend,F,,
platter,T,,
holdup,L D,,
weeny,N,,
fiber,B,,
polo,L,,
scavenge,V,,
pompous,M P,,
tussle,S,,
cavern,V,,
pollster,L S T,,
above,B,,
poncho,N CH,,
plating,T,,
plasma,Z M,,
bouquet,K,,
adjourn,JH,,
plankton,NG K T,,
modal,D,,
pointed,N T,,
pocket,K,,
pogrom,G R,,
mitre,T R,,
extreme,K S T R,,
notion,SH,,
trillion,L Y,,
plummet,M,,
assign,S,,
patent,T,,
pastry,S T R,,
bottom,T,,
pasta,S T,,
mother,DH,,
gourmet,R M,,
brutal,T,,
baptist,P T,,
bureau,R,,
morale,R,,
kismet,Z M,,
madame,D,,
muzzle,Z,,
revile,V,,
nickname,K N,,
motor,T,,
catbird,T B,,
pardon,R D,,
swivel,V,,
miscount,S K,,
duma,M,,
moron,R,,
passbook,S B,,
partner,R T N,,
catchy,CH,,
passel,S,,
parting,R T,,
button,T,,
section,K SH,,
vulgar,L G,,
partake,R T,,
bubble,B,,
mammoth,M,,
likely,K L,,
pester,S T,,
peruse,R,,
persuade,R S W,,
penny,N,,
woken,K,,
wager,JH,,
monsieur,S Y,,
pharynx,R,,
catty,T,,
pfennig,N,,
visage,Z,,
petty,T,,
petrol,T R,,
buffoon,F,,
fumble,M B,,
pennant,N,,
closure,ZH,,
bullet,L,,
bunker,NG K,,
theory,R,,
peevish,V,,
perhaps,R HH,,
ourselves,R S,,
perplex,R P L,,
budget,JH,,
pepper,P,,
servant,R V,,
people,P,,
buxom,K S,,
ailment,L M,,
turnkey,R N K,,
turkey,R K,,
pharaoh,R,,
soften,F,,
tunnel,N,,
discourse,S K,,
wrongly,NG L,,
twinkle,NG K,,
agog,G,,
rampage,M P,,
vagrant,G R,,
despair,S P,,
agleam,G L,,
turtle,R T,,
ahoy,HH,,
junior,N Y,,
hackney,K N,,
wildwood,L D W,,
triplet,P L,,
curry,R,,
indoors,N D,,
tripod,P,,
dacha,CH,,
trickle,K,,
alert,L,,
poplin,P L,,
trigger,G,,
truncate,NG K,,
further,R DH,,
urchin,R CH,,
oblique,B L,,
frigid,JH,,
trombone,M B,,
truffle,F,,
speedway,D W,,
album,L B,,
afford,F,,
bestial,S CH,,
imprint,M P R,,
valence,L,,
outreach,T R,,
dingle,NG G,,
vacant,K,,
spindle,N D,,
payment,M,,
vantage,N T,,
vanquish,NG K W,,
valley,L,,
whiten,T,,
retrieve,T R,,
vapid,P,,
afflict,F L,,
malice,L,,
affair,F,,
drivel,V,,
trustee,S T,,
incur,N K,,
standard,N D,,
afoul,F,,
uphill,P HH,,
upgrade,P G R,,
umpire,M P,,
against,G,,
unjust,N JH,,
pipeline,P L,,
upswing,P S W,,
convey,N V,,
depress,P R,,
urbane,R B,,
certain,R T,,
groundling,N D L,,
upon,P,,
bridal,D,,
upstairs,P S T,,
rumple,M P,,
abrupt,B R,,
tinder,N D,,
tirade,R,,
misjudge,S JH,,
although,L DH,,
tincture,NG K CH,,
piling,L,,
tinny,N,,
hydrate,D R,,
wartime,R T,,
aloud,L,,
magnate,G N,,
titan,T,,
panache,N,,
token,K,,
turban,R B,,
tireless,R L,,
tittle,T,,
forging,R JH,,
thinner,N,,
thimble,M B,,
amour,M,,
thirty,R D,,
puncture,NG K CH,,
reckless,K L,,
therefore,R F,,
asphalt,S F,,
among,M,,
prorate,R,,
tiller,L,,
cackle,K,,
graybeard,B,,
amber,M B,,
ambush,M B,,
guppy,P,,
threshold,SH,,
threefold,F,,
tidings,D,,
putty,T,,
wrestling,S L,,
mouthpart,TH P,,
transcribe,N S K R,,
awning,N,,
transpose,N S P,,
pillow,L,,
traitor,T,,
transom,N S,,
transfix,N S F,,
inward,N W,,
veneer,N,,
untold,N T,,
travel,V,,
fennel,N,,
infirm,N F,,
piston,S T,,
alive,L,,
fountain,N T,,
latex,T,,
traverse,V,,
future,CH,,
palfrey,L F R,,
tawdry,D R,,
torpor,R P,,
torpid,R P,,
kerchief,R CH,,
befall,F,,
topaz,P,,
forecast,R K,,
townsman,N Z M,,
crusade,S,,
touchstone,CH S T,,
pollock,L,,
lifeboat,F B,,
allure,L,,
exchange,K S CH,,
stranger,N JH,,
tourist,R,,
touchy,CH,,
winding,N D,,
windfall,N D F,,
willful,L F,,
window,N D,,
splinter,N T,,
console,N S,,
wildfire,L D F,,
calling,L,,
absorb,B Z,,
spheroid,R,,
depart,P,,
awhile,W,,
absinthe,B S,,
wingspan,NG S P,,
abstain,B S T,,
wistful,S T F,,
wintry,N T R,,
winsome,N S,,
whipsaw,P S,,
duffer,F,,
lazy,Z,,
whiteness,T N,,
whisker,S K,,
deprive,P R,,
invoke,N V,,
whicker,K,,
abbe,B,,
handmade,N D M,,
abyss,B,,
whittle,T,,
culprit,L P R,,
widespread,D S P R,,
papaw,P,,
whiting,T,,
accede,K S,,
vital,T,,
pattern,T,,
yahoo,HH,,
yogi,G,,
gadget,JH,,
abbey,B,,
yearling,R L,,
transit,N Z,,
cautious,SH,,
popcorn,P K,,
zany,N,,
yucca,K,,
younker,NG K,,
zebra,B R,,
earthquake,R TH K W,,
trammel,M,,
wooden,D,,
woeful,F,,
woozy,Z,,
leaven,V,,
witted,T,,
witless,T L,,
sizzle,Z,,
average,V,,
wolfram,L F R,,
relish,L,,
unknown,N N,,
wormhole,R M HH,,
nibble,B,,
tumor,M,,
written,T,,
lengthen,NG TH,,
workout,R K,,
careen,R,,
worsen,R S,,
about,B,,
caisson,S,,
woodsman,D Z M,,
veto,T,,
vintage,N T,,
busy,Z,,
villain,L,,
admit,D M,,
ado,D,,
vigor,G,,
hurtle,R T,,
addle,D,,
vista,S T,,
victor,K T,,
wattle,T,,
rowdy,D,,
viral,R,,
vinyl,N,,
visor,Z,,
wholesale,L S,,
virtue,R CH,,
venom,N,,
treble,B,,
aegis,JH,,
hassle,S,,
venture,N CH,,
ventral,N T R,,
vary,R,,
vendor,N D,,
summons,M,,
profane,F,,
vertex,R T,,
verdict,R D,,
karma,R M,,
vesper,S P,,
verdant,R D,,
adroit,D R,,
adrift,D R,,
tingle,NG G,,
weapon,P,,
sturgeon,R JH,,
plucky,K,,
rover,V,,
sapphire,F,,
werewolf,R W,,
finish,N,,
acid,S,,
bison,S,,
wetland,T L,,
dipper,P,,
wearer,R,,
poison,Z,,
accuse,K Y,,
perverse,R V,,
metal,T,,
confound,N F,,
appease,P,,
report,P,,
conic,N,,
walrus,L R,,
acre,K,,
acquit,K W,,
convict,N V,,
postman,S T M,,
husband,Z B,,
wainwright,N R,,
markka,R K,,
wallop,L,,
walleye,L,,
shipshape,P SH,,
shipboard,P B,,
shading,D,,
shoulder,L D,,
reckon,K,,
shoddy,D,,
shabby,B,,
sextet,K S T,,
shanty,N T,,
shamrock,M R,,
attire,T,,
regime,ZH,,
silly,L,,
socket,K,,
simmer,M,,
silver,L V,,
stupor,P,,
shovel,V,,
cleric,R,,
signet,G N,,
atom,T,,
afraid,F R,,
select,L,,
squabble,B,,
senna,N,,
augment,G M,,
augur,G,,
resume,Z,,
squalor,L,,
seldom,L D,,
coping,P,,
distraught,S T R,,
auburn,B,,
septic,P T,,
attract,T R,,
moly,L,,
dabble,B,,
sentence,N T,,
genteel,N T,,
quicken,K,,
assuage,S W,,
soggy,G,,
oneself,N S,,
newsprint,Z P R,,
smitten,T,,
housework,S W,,
snicker,K,,
sneaker,K,,
sortie,R T,,
nutty,T,,
something,M TH,,
southeast,TH,,
soulless,L L,,
ozone,Z,,
typhoid,F,,
sorghum,R G,,
neutral,T R,,
verbal,R B,,
conceal,N S,,
single,NG G,,
skillet,L,,
astride,S T R,,
aspire,S P,,
inkling,NG K L,,
dervish,R V,,
athlete,TH L,,
hamlet,M L,,
focus,K,,
slacken,K,,
slumber,M B,,
ultra,L T R,,
freedom,D,,
slalom,L,,
rubber,B,,
vixen,K S,,
package,K,,
rubric,B R,,
supper,P,,
rubble,B,,
rotund,T,,
rostrum,S T R,,
roulette,L,,
cantle,N T,,
runoff,N,,
runny,N,,
bagpipe,G P,,
schedule,JH,,
buddy,D,,
runway,N W,,
alike,L,,
diverge,V,,
scallop,L,,
rundown,N D,,
rumor,M,,
bankrupt,NG K R,,
banter,N T,,
bygone,G,,
riser,Z,,
sunken,NG K,,
pebble,B,,
address,D R,,
ridden,D,,
rhythmic,DH M,,
rookie,K,,
romance,M,,
missile,S,,
beaten,T,,
ballet,L,,
risque,S K,,
robust,B,,
abridge,B R,,
roller,L,,
candid,N D,,
rodent,D,,
scapegoat,P G,,
scripture,P CH,,
scribble,B,,
scramble,M B,,
solid,L,,
bulkhead,L K HH,,
scarecrow,R K R,,
scarcely,R S L,,
secede,S,,
capon,P,,
scupper,P,,
sedate,D,,
any,N,,
secrete,K R,,
sculptor,L P T,,
clamor,M,,
aver,V,,
support,P,,
salmon,M,,
salient,L,,
bacon,K,,
sally,L,,
sanction,NG K SH,,
sample,M P,,
ruthless,TH L,,
baggage,G,,
worldly,R L D L,,
sago,G,,
sacred,K R,,
surface,R F,,
sanguine,NG G W,,
award,W,,
sawdust,D,,
saucepan,S P,,
tumult,M,,
awkward,K W,,
awesome,S,,
sassy,S,,
acquire,K W,,
apex,P,,
surly,R L,,
surround,R,,
surrey,R,,
dulcet,L S,,
surgeon,R JH,,
precis,S,,
grapple,P,,
bandstand,N D S T,,
govern,V,,
lancer,N S,,
portrait,R T R,,
temper,M P,,
sylvan,L V,,
campus,M P,,
parole,R,,
sustain,S T,,
suspense,S P,,
suitcase,T K,,
dowdy,D,,
civic,V,,
bristle,S,,
sullen,L,,
humor,M,,
control,N T R,,
fertile,R T,,
sugar,G,,
suffuse,F Y,,
apple,P,,
breakage,K,,
append,P,,
suppress,P R,,
supposed,P,,
declaim,K L,,
lipstick,P S T,,
cockle,K,,
superb,P,,
answer,N S,,
platen,T,,
teeny,N,,
annex,N,,
tendon,N D,,
tender,N D,,
ruby,B,,
canon,N,,
tasty,S T,,
leisure,ZH,,
sully,L,,
tavern,V,,
ancient,N CH,,
textbook,K S T B,,
many,N,,
pedal,D,,
texture,K S CH,,
tension,N SH,,
fledgling,JH L,,
terrain,R,,
caudal,D,,
courtship,R CH,,
syrup,R,,
taffy,F,,
tactile,K T,,
syndrome,N D R,,
pectin,K T,,
tabloid,B L,,
tablet,B L,,
target,R G,,
indeed,N D,,
tassel,S,,
skittish,T,,
tartan,R T,,
talon,L,,
tally,L,,
taper,P,,
palace,L,,
arrow,R,,
stallion,L Y,,
unrest,N R,,
driving,V,,
dodo,D,,
incline,N K L,,
arty,R T,,
setter,T,,
stagnate,G N,,
stagnant,G N,,
stature,CH,,
chutney,T N,,
spittle,T,,
stuffy,F,,
steeple,P,,
lucerne,S,,
rocker,K,,
dispel,S P,,
statesman,T S M,,
goldfinch,L D F,,
special,SH,,
asleep,S L,,
truckload,K L,,
specious,SH,,
agape,G,,
spaniel,N Y,,
askance,S K,,
askew,S K Y,,
treatise,T,,
springtime,NG T,,
spousal,Z,,
carload,R L,,
longer,NG G,,
succeed,K S,,
sputter,T,,
entrant,N T R,,
winnow,N,,
parlor,R L,,
splendor,N D,,
perchance,R CH,,
studied,D,,
striving,V,,
murmur,R M,,
sturdy,R D,,
wanton,N T,,
striven,V,,
stringer,NG,,
student,D,,
seesaw,S,,
suburb,B,,
sublime,B L,,
succumb,K,,
succor,K,,
needle,D,,
maintain,N T,,
vestment,S T M,,
substance,B S T,,
subscribe,B S K R,,
appraise,P R,,
ism,Z,,
sterile,R,,
stodgy,JH,,
stocky,K,,
stockpile,K P,,
arrange,R,,
stillborn,L B,,
stigma,G M,,
flagrant,G R,,
marksman,R K S M,,
stratum,T,,
storied,R,,
scullion,L Y,,
arid,R,,
storeroom,R R,,
narrow,R,,
parlance,R L,,
parboil,R B,,
grenade,N,,
consort,N S,,
grateful,T F,,
golden,L D,,
granule,N Y,,
grandson,N D S,,
grovel,V,,
grotesque,T,,
session,SH,,
leapfrog,P F R,,
groggy,G,,
grievous,V,,
grievance,V,,
consist,N S,,
regress,G R,,
contempt,N T,,
goblet,B L,,
gobble,B,,
contend,N T,,
glory,R,,
recline,K L,,
contour,N T,,
contract,N T R,,
grandchild,N D CH,,
gotten,T,,
gossip,S,,
contact,N T,,
cogent,JH,,
bastion,S CH,,
gory,R,,
caftan,F T,,
handshake,N D SH,,
conflict,N F L,,
handout,N D,,
seclude,K L,,
confuse,N F Y,,
hallway,L W,,
wacky,K,,
mesdames,D,,
abloom,B L,,
happy,P,,
confer,N F,,
levee,V,,
clapboard,P B,,
proceeds,S,,
highway,W,,
chemist,M,,
sulfa,L F,,
hangar,NG,,
handy,N D,,
gully,L,,
meddle,D,,
conjoin,N JH,,
gurgle,R G,,
conquest,NG K W,,
grumpy,M P,,
hostler,S L,,
guardsman,R D Z M,,
conscience,N SH,,
anti,N T,,
insist,N S,,
haggle,G,,
instead,N S T,,
congeal,N JH,,
hacksaw,K S,,
rabbi,B,,
galley,L,,
fusion,ZH,,
stricture,K CH,,
option,P SH,,
fury,R,,
copra,P R,,
furlough,R L,,
fully,L,,
freckle,K,,
furbish,R B,,
gallon,L,,
gadfly,D F L,,
turquoise,R K W,,
mystique,S T,,
futile,T,,
middling,D,,
suspend,S P,,
alone,L,,
correct,R,,
submerge,B M,,
corral,R,,
fraction,K SH,,
foster,S T,,
deceive,S,,
meaning,N,,
fossil,S,,
corsage,R S,,
frontier,N T,,
nostril,S T R,,
frostbite,S T B,,
frontage,N T,,
frequent,K W,,
frenzy,N Z,,
fritter,T,,
mambo,M B,,
copy,P,,
convene,N V,,
gibbon,B,,
ghastly,S T L,,
gentian,N SH,,
garish,R,,
gewgaw,G,,
convert,N V,,
maybe,B,,
gladden,D,,
contrite,N T R,,
glimmer,M,,
gizzard,Z,,
terror,R,,
given,V,,
gingham,NG,,
gangrene,N G R,,
gangplank,NG P L,,
precious,SH,,
granite,N,,
libra,B R,,
coolly,L,,
cooper,P,,
gamecock,M K,,
hymnal,M N,,
gaucho,CH,,
twitter,T,,
genie,N,,
gasket,S K,,
garnet,R N,,
garner,R N,,
garter,R T,,
photo,T,,
ideal,D,,
fairy,R,,
custard,S T,,
glucose,K,,
flapjack,P JH,,
tinkle,NG K,,
fallout,L,,
lacy,S,,
impose,M P,,
serene,R,,
valiant,L Y,,
impress,M P R,,
implant,M P L,,
forego,R G,,
legume,G Y,,
impart,M P,,
housewife,S W,,
tickle,K,,
mixture,K S CH,,
yuletide,L T,,
outhouse,T HH,,
comma,M,,
hurdle,R D,,
outfit,T F,,
humid,M,,
hula,L,,
fireman,R M,,
humane,M,,
inspire,N S P,,
collect,L,,
colleague,L,,
inset,N S,,
aflame,F L,,
input,N P,,
inept,N,,
medic,D,,
affix,F,,
obsess,B S,,
intend,N T,,
intake,N T,,
into,N T,,
intent,N T,,
outfield,T F,,
instinct,N S T,,
avow,V,,
collar,L,,
chipper,P,,
colon,L,,
colonel,R N,,
include,N K L,,
combat,M B,,
salvage,L V,,
incense,N S,,
largesse,R G,,
inning,N,,
adjudge,JH,,
crystal,S T,,
inner,N,,
streamlined,M L,,
treaty,T,,
infer,N F,,
inert,N,,
thousand,Z,,
infield,N F,,
riposte,P,,
tariff,R,,
heavy,V,,
hector,K T,,
hectic,K T,,
heaven,V,,
intrigue,N T R,,
condone,N D,,
hearty,R T,,
purple,R P,,
hello,L,,
anise,N,,
conceive,N S,,
heifer,F,,
reply,P L,,
heinous,N,,
mortgage,R G,,
harvest,R V,,
condor,N D,,
hasten,S,,
harry,R,,
hardback,R D B,,
harbor,R B,,
harlot,R L,,
status,T,,
headsman,D Z M,,
hazard,Z,,
display,S P L,,
headman,D M,,
random,N D,,
journey,R N,,
hatred,T R,,
helmet,L M,,
condense,N D,,
peacock,K,,
homemade,M M,,
complain,M P L,,
tenant,N,,
honey,N,,
complex,M P L,,
hokum,K,,
revue,V Y,,
coming,M,,
borough,R,,
commune,M Y,,
fissure,SH,,
hostel,S T,,
hornet,R N,,
compete,M P,,
hoodwink,D W,,
mores,R,,
compass,M P,,
wretched,CH,,
heron,R,,
compute,M P Y,,
comrade,M R,,
hero,R,,
molest,L,,
gangster,NG S T,,
timber,M B,,
furlong,R L,,
hobo,B,,
hobby,B,,
hodgepodge,JH P,,
provost,V,,
adage,D,,
hiding,D,,
hipster,P S T,,
hillock,L,,
cubic,B,,
dollop,L,,
kindling,N D L,,
district,S T R,,
cruiser,Z,,
dormouse,R M,,
inlet,N L,,
sequin,K W,,
dorsal,R S,,
marrow,R,,
dolphin,L F,,
township,N SH,,
domain,M,,
wiggle,G,,
cushion,SH,,
seismic,Z M,,
cuisine,Z,,
phenol,N,,
warrant,R,,
dissect,S,,
dispute,S P Y,,
divers,V,,
docket,K,,
divulge,V,,
ocean,SH,,
conscript,N S K R,,
cuckoo,K,,
diva,V,,
descent,S,,
whetstone,T S T,,
dumbbell,M B,,
themselves,M S,,
duress,R,,
guitar,T,,
duly,L,,
canoe,N,,
lotion,SH,,
expert,K S P,,
ductile,K T,,
rectum,K T,,
zealous,L,,
eaten,T,,
eastern,S T,,
forlorn,R L,,
dwindle,N D,,
duty,T,,
early,R L,,
dozen,Z,,
despise,S P,,
drama,M,,
dragon,G,,
tailor,L,,
purloin,R L,,
dovetail,V T,,
crucial,SH,,
downbeat,N B,,
dainty,N T,,
drover,V,,
dropsy,P S,,
biplane,P L,,
dresser,S,,
dreamer,M,,
driven,V,,
riddance,D,,
default,F,,
wrinkle,NG K,,
decoy,K,,
manly,N L,,
cynic,N,,
trickster,K S T,,
corsair,R S,,
daughter,T,,
timepiece,M P,,
decent,S,,
denote,N,,
atone,T,,
delouse,L,,
demean,M,,
demand,M,,
cymbal,M B,,
deform,F,,
defeat,F,,
defy,F,,
refund,F,,
darkroom,R K R,,
stammer,M,,
dagger,G,,
dampen,M P,,
dally,L,,
dairy,R,,
damsel,M Z,,
debunk,B,,
debrief,B R,,
reddish,D,,
sailor,L,,
deadline,D L,,
dawdle,D,,
dealing,L,,
redress,D R,,
pauper,P,,
diction,K SH,,
linden,N D,,
fashion,SH,,
dictum,K T,,
dicky,K,,
cosmos,Z M,,
nitrate,T R,,
hygiene,JH,,
dibble,B,,
curfew,R F Y,,
dislodge,S L,,
discount,S K,,
rigor,G,,
dismal,Z M,,
discern,S,,
diner,N,,
prudish,D,,
direct,R,,
dinky,NG K,,
worry,R,,
simple,M P,,
deport,P,,
habit,B,,
denounce,N,,
denture,N CH,,
custom,S T,,
devolve,V,,
devil,V,,
diamond,M,,
devote,V,,
device,V,,
picket,K,,
assume,S,,
detest,T,,
despot,S P,,
welfare,L F,,
finding,N D,,
courthouse,R T HH,,
final,N,,
ferry,R,,
filly,L,,
fillip,L,,
outgrow,T G R,,
jiffy,F,,
hyssop,S,,
courage,R,,
fission,SH,,
antique,N T,,
tribesman,B Z M,,
ferment,R M,,
matrix,T R,,
bulwark,L W,,
female,M,,
feature,CH,,
belfry,L F R,,
every,V,,
filing,L,,
fiery,R,,
restore,S T,,
upkeep,P K,,
cesspool,S P,,
cover,V,,
covey,V,,
amok,M,,
feudal,D,,
fetus,T,,
idle,D,,
forestall,R S T,,
mandrake,N D R,,
cossack,S,,
cougar,G,,
foray,R,,
decline,K L,,
cripple,P,,
former,R M,,
formal,R M,,
forsake,R S,,
lobby,B,,
slogan,G,,
forewarn,R W,,
cortex,R T,,
rotten,T,,
flotsam,T S,,
fluster,S T,,
council,N S,,
florist,R,,
nervous,R V,,
flimflam,M F L,,
candied,N D,,
flora,R,,
cotton,T,,
parsley,R S L,,
follow,L,,
fondle,N D,,
foment,M,,
biceps,S,,
alloy,L,,
fodder,D,,
sliver,V,,
ermine,R M,,
cricket,K,,
erect,R,,
flurry,R,,
epoch,P,,
entry,N T R,,
ellipse,L,,
enzyme,N Z,,
toilet,L,,
creature,CH,,
eunuch,N,,
knobby,B,,
evade,V,,
ethnic,TH N,,
compact,M P,,
erupt,R,,
credence,D,,
escort,S K,,
elapse,L,,
eject,JH,,
miser,Z,,
critter,T,,
elite,L,,
sadden,D,,
newly,L,,
enough,N,,
engine,N JH,,
enter,N T,,
crimson,M Z,,
northward,R TH W,,
empire,M P,,
encamp,N K,,
emu,M Y,,
falter,L T,,
facing,S,,
falsehood,L S HH,,
hulking,L K,,
facet,S,,
exit,G Z,,
facade,S,,
number,M B,,
fateful,T F,,
useful,S F,,
fauna,N,,
herald,R,,
farmland,R M L,,
cracker,K,,
farmhand,R M HH,,
crabby,B,,
craving,V,,
exclaim,K S K L,,
altar,L T,,
crater,T,,
excite,K S,,
crayfish,F,,
exalt,G Z,,
cloture,CH,,
excerpt,K S,,
extract,K S T R,,
hatching,CH,,
barrage,R,,
craftsman,F T S M,,
critic,T,,
expect,K S P,,
crafty,F T,,
export,K S P,,
lather,DH,,
cluster,S T,,
clover,V,,
cobbler,B L,,
bourgeois,R ZH W,,
latent,T,,
leaping,P,,
lectern,K T,,
lecture,K CH,,
lavish,V,,
leaden,D,,
castle,S,,
language,NG G W,,
dither,DH,,
landlocked,N D L,,
landmark,N D M,,
tallow,L,,
larva,R V,,
languish,NG G W,,
blemish,M,,
larder,R D,,
letter,T,,
clearing,R,,
level,V,,
cloister,S T,,
borrow,R,,
licence,S,,
dollar,L,,
clearance,R,,
batter,T,,
cliche,SH,,
clothier,DH Y,,
leery,R,,
onslaught,N S L,,
leopard,P,,
impasse,M P,,
absurd,B S,,
public,B L,,
slipper,P,,
lubber,B,,
fracas,K,,
hoarding,R D,,
coffin,F,,
northeast,R TH,,
gruesome,S,,
killing,L,,
tonight,N,,
kernel,R N,,
kettle,T,,
jungle,NG G,,
agree,G R,,
julep,L,,
weevil,V,,
jumbo,M B,,
gazette,Z,,
metre,T,,
shaken,K,,
lira,R,,
escape,S K,,
mavis,V,,
laggard,G,,
kinship,N SH,,
ladder,D,,
anvil,N V,,
lancet,N S,,
cobra,B R,,
outdoor,T D,,
lament,M,,
midday,D D,,
kitten,T,,
kitty,T,,
riffraff,F R,,
kindly,N D L,,
cocky,K,,
cockney,K N,,
lacquer,K,,
foreclose,R K L,,
parry,R,,
malformed,L F,,
missal,S,,
lyric,R,,
tanner,N,,
mammal,M,,
relax,L,,
choral,R,,
choppy,P,,
giblet,B L,,
macaw,K,,
napkin,P K,,
comment,M,,
lusty,S T,,
madder,D,,
chowder,D,,
parcel,R S,,
astound,S T,,
nomad,M,,
madden,D,,
marquess,R K W,,
washout,SH,,
pesky,S K,,
exploit,K S P L,,
ragged,G,,
peddle,D,,
concert,N S,,
marshal,R SH,,
marten,R T,,
manhood,N HH,,
mankind,N K,,
propound,P,,
colored,L,,
marble,R B,,
union,N Y,,
chemise,M,,
mansion,N SH,,
cherish,R,,
lintel,N T,,
lining,N,,
feeble,B,,
stronghold,NG HH,,
